Age,Country,Directors,Disney+,F1,Genres,Hulu,ID,IMDb,Language,Netflix,Prime Video,Rotten Tomatoes,Runtime,Title,Type,Year,budget,genre,inflation_adjusted_gross,movie_title,mpaa_rating,profit %,profit,release_date,revenue,title,total_gross
,,,,,,,,,,,,,,,,,,,0,The Many Adventures of Winnie the Pooh,,,,11-03-1977,,,0
,,,,,,,,,,,,,,,,,,,105847527,Herbie Goes to Monte Carlo,,,,24-06-1977,,,28000000
,,,,,,,,,,,,,,,,,,,120377374,The Black Hole,,,,21-12-1979,,,35841901
,,,,,,,,,,,,,,,,,,,9088096,Midnight Madness,,,,08-02-1980,,,2900000
,,,,,,,,,,,,,,,,,,,34472116,The Last Flight of Noah’s Ark,,,,25-06-1980,,,11000000
,,,,,,,,,,,,,,,,,,,48517980,The Devil and Max Devlin,,,,01-01-1981,,,16000000
,,,,,,,,,,,,,,,,,,,0,Frank McKlusky C.I.,,,,01-01-2002,,,0
,,,,,,,,,,,,,,,,,,Action,0,Condorman,,,,07-08-1981,,,0
,,,,,,,,,,,,,,,,,,Action,77184895,Tron,,,,09-07-1982,,,26918576
,,,,,,,,,,,,,,,,,,Action,60097074,Shoot to Kill,,,,12-02-1988,,,29300000
,,,,,,,,,,,,,,,,,,Action,12009960,The Rescue,,,,05-08-1988,,,5855392
,,,,,,,,,,,,,,,,,,Adventure,528279994,"20,000 Leagues Under the Sea",,,,23-12-1954,,,28200000
,,,,,,,,,,,,,,,,,,Adventure,153870834,The Sword in the Stone,,,,25-12-1963,,,22182353
,,,,,,,,,,,,,,,,,,Adventure,159743914,The Rescuers,,,,22-06-1977,,,48775599
,,,,,,,,,,,,,,,,,,Adventure,33900697,Baby: Secret of the Lost Legend,,,,22-03-1985,,,14276095
,,,,,,,,,,,,,,,,,,Adventure,25215934,Return to Oz,,,,21-06-1985,,,10618813
,,,,,,,,,,,,,,,,,,Adventure,50553142,The Black Cauldron,,,,24-07-1985,,,21288692
,,,,,,,,,,,,,,,,,,Adventure,53637367,The Great Mouse Detective,,,,02-07-1986,,,23605534
,,,,,,,,,,,,,,,,,,Adventure,42183197,Flight of the Navigator,,,,30-07-1986,,,18564613
,,,,,,,,,,,,,,,,,,Adventure,32798382,Benji the Hunted,,,,05-06-1987,,,15212539
,,,,,,,,,,,,,,,,,,Adventure,16653473,Cheetah,,,,18-08-1989,,,7882250
,,,,,,,,,,,,,,,,,,Comedy,310094574,The Absent Minded Professor,,,,16-03-1961,,,25381407
